                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.0658,                0.64768,                 1.3199,                0.37031,                0.34295,                0.35173,                0.22532,                 1.5812,                 4.3896,                 1.5402,             0.00055895,             0.00055895,             0.00055895
                    125,                 1.1449,                 0.6765,                 1.3428,                0.35101,                0.34188,                0.34058,                0.22545,                 1.4869,                 4.3195,                 1.4714,             0.00055188,             0.00055188,             0.00055188
                    126,                 1.1416,                0.67056,                 1.3824,                0.37739,                0.34615,                0.34669,                0.22429,                 1.5242,                 4.2314,                 1.4833,             0.00054481,             0.00054481,             0.00054481
                    127,                 1.1332,                0.68298,                 1.3381,                0.36838,                0.34295,                0.32267,                0.20062,                 1.5228,                 4.3721,                 1.5224,             0.00053773,             0.00053773,             0.00053773
                    128,                 1.1172,                0.68115,                 1.3228,                0.37262,                0.37073,                0.34317,                0.22629,                 1.6384,                  4.314,                 1.5623,             0.00053066,             0.00053066,             0.00053066
                    129,                  1.103,                0.67582,                 1.3161,                0.37974,                0.37635,                0.34858,                 0.2365,                 1.5303,                 4.0826,                 1.4723,             0.00052359,             0.00052359,             0.00052359
                    130,                 1.1164,                0.65589,                 1.3064,                0.37729,                0.33868,                0.33747,                0.21981,                  1.517,                 4.2074,                 1.4835,             0.00051651,             0.00051651,             0.00051651
                    131,                 1.1333,                0.67191,                 1.3246,                0.38664,                0.34188,                 0.3461,                0.23012,                 1.5026,                 4.3417,                  1.459,             0.00050944,             0.00050944,             0.00050944
                    132,                  1.135,                0.67031,                 1.3162,                0.37301,                 0.3344,                0.33152,                0.21072,                 1.5426,                 4.2878,                 1.5089,             0.00050236,             0.00050236,             0.00050236
                    133,                 1.1185,                0.65907,                  1.325,                0.37373,                0.33474,                0.32471,                0.20296,                 1.5543,                  4.246,                 1.5211,             0.00049529,             0.00049529,             0.00049529
                    134,                 1.0977,                0.64401,                  1.317,                0.37468,                0.34936,                0.33914,                0.22897,                  1.549,                 4.3033,                 1.4903,             0.00048822,             0.00048822,             0.00048822
                    135,                 1.0516,                0.63803,                 1.2663,                0.37129,                0.34615,                0.33842,                0.22301,                 1.5091,                 4.3251,                  1.446,             0.00048114,             0.00048114,             0.00048114
                    136,                 1.0999,                0.64801,                 1.3071,                0.35941,                0.34615,                 0.3227,                0.20812,                 1.5391,                 4.3103,                 1.4833,             0.00047407,             0.00047407,             0.00047407
                    137,                 1.0736,                0.62625,                 1.2916,                0.37872,                0.33547,                0.33947,                 0.2251,                 1.4707,                  4.327,                 1.4465,               0.000467,               0.000467,               0.000467
                    138,                 1.0522,                0.63317,                 1.2721,                0.37781,                0.33547,                0.33004,                0.21635,                  1.481,                 4.4355,                 1.4355,             0.00045992,             0.00045992,             0.00045992
                    139,                  1.054,                0.62586,                 1.2838,                0.38717,                0.33868,                0.33147,                 0.2239,                 1.5151,                 4.5187,                 1.4736,             0.00045285,             0.00045285,             0.00045285
                    140,                  1.049,                0.65349,                 1.3206,                0.38317,                0.33547,                0.33836,                0.23284,                 1.5057,                 4.3842,                  1.456,             0.00044578,             0.00044578,             0.00044578
                    141,                 1.1107,                0.66343,                 1.3198,                0.35702,                0.36966,                0.34869,                0.24072,                   1.55,                  4.368,                 1.4752,              0.0004387,              0.0004387,              0.0004387
                    142,                 1.0684,                0.62665,                 1.2726,                0.38025,                0.37472,                0.35428,                0.23498,                 1.4773,                 4.4348,                 1.4543,             0.00043163,             0.00043163,             0.00043163
                    143,                 1.0995,                0.63478,                 1.2871,                0.38369,                0.34615,                0.34628,                 0.2252,                 1.4984,                 4.4673,                 1.4819,             0.00042456,             0.00042456,             0.00042456
                    144,                 1.0766,                0.62152,                 1.2642,                0.34772,                0.37012,                0.34275,                0.21912,                 1.4741,                 4.4897,                 1.4425,             0.00041748,             0.00041748,             0.00041748
                    145,                 1.0552,                0.66576,                 1.2908,                0.37015,                0.36705,                0.35023,                0.22332,                 1.5042,                 4.5033,                 1.4647,             0.00041041,             0.00041041,             0.00041041
                    146,                 1.0832,                0.61781,                 1.2725,                0.37234,                0.34295,                0.33648,                0.21718,                 1.4858,                 4.4851,                 1.4496,             0.00040334,             0.00040334,             0.00040334
                    147,                 1.0483,                0.64049,                 1.2866,                0.34416,                0.34615,                 0.3303,                0.19846,                 1.6247,                 4.6282,                 1.5357,             0.00039626,             0.00039626,             0.00039626
                    148,                  1.073,                0.65944,                 1.3158,                0.34673,                0.34401,                0.33056,                0.19569,                 1.5729,                 4.5702,                 1.5059,             0.00038919,             0.00038919,             0.00038919
